ds_name,method,conv_frac_median,conv_frac_p95,error_at_conv_median,estimated_prec,n_edges,true_precision,conv_n_edges_median
Fluo-N2DH-GOWT1_02,trajectory,0.370181657066903,0.6778688524590161,-0.00497951011309683,0.986159169550173,2257,0.9911386796632699,836
Fluo-N2DH-SIM+_01,random,0.11663405088062623,0.3062230919765166,-0.004937063005831577,0.9899748743718593,2555,0.9949119373776908,298
Fluo-N2DH-SIM+_01,trajectory,0.11663405088062623,0.3357729941291582,-0.0037287312708205733,0.9911832061068702,2555,0.9949119373776908,298
Fluo-N2DH-SIM+_02,random,0.2810615199034982,0.5464867310012061,0.000133133339792757,0.9989268607221813,3316,0.9987937273823885,932
Fluo-N2DH-SIM+_02,trajectory,0.2798552472858866,0.5201447527141133,0.00012269592712094157,0.9989164233095094,3316,0.9987937273823885,928
Fluo-N2DL-HeLa_01,random,0.034830538290137214,0.17563621437785842,-0.0019839691470980303,0.9894549894549896,8527,0.9914389586020875,297
Fluo-N2DL-HeLa_01,trajectory,0.13996716312888474,0.3477483288378092,0.002069347045753067,0.9935083056478407,8527,0.9914389586020875,1194
Fluo-N2DL-HeLa_02,random,0.010719968178202068,0.0475,-0.004862768496419978,0.9875,25140,0.99236276849642,270
Fluo-N2DL-HeLa_02,trajectory,0.016686555290373904,0.07477326968973742,-0.004967810513226811,0.9873949579831932,25140,0.99236276849642,419
Fluo-N3DH-CE_01,random,0.02009013182832835,0.048287916438529206,0.001404604587310454,0.9917175389258523,23743,0.9903129343385418,477
Fluo-N3DH-CE_01,trajectory,0.033146611632902334,0.1006759887124626,0.0034468008639503833,0.9937597352024923,23743,0.9903129343385418,787
Fluo-N3DH-CE_02,random,0.022421726969232156,0.10618289271857784,-0.0004747860378592761,0.9875699671878015,22166,0.9880447532256609,497
Fluo-N3DH-CE_02,trajectory,0.05039249300730849,0.2281985924388703,0.003430359896511137,0.991475113122172,22166,0.9880447532256609,1117
PhC-C2DH-U373_02,random,0.4183823529411764,0.7009558823529412,-0.004929831464358436,0.9833054626532887,680,0.9882352941176471,284
PhC-C2DH-U373_02,trajectory,0.7029411764705882,0.9691176470588235,-0.004971695791287312,0.9832635983263598,680,0.9882352941176471,478
PhC-C2DL-PSC_01,random,0.007034014180798128,0.048667202323057185,0.0025921560638896834,0.9862264437113715,70941,0.9836342876474817,499
PhC-C2DL-PSC_01,trajectory,0.16175413371675054,0.44874261710435426,0.004519833698127862,0.9881541213456095,70941,0.9836342876474817,11475
PhC-C2DL-PSC_02,random,0.005439005439005439,0.015587695133149674,-0.00494077855066366,0.9902912621359224,56628,0.9952320406865861,308
PhC-C2DL-PSC_02,trajectory,0.005165289256198347,0.01792664406300769,0.0010777214224324538,0.9963097621090186,56628,0.9952320406865861,292
